institute,branch,seat_type,gender,or,cr,year,course,course_id,total_seats
Indian Institute  of Technology Gandhinagar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,905,1619,2026,"Indian Institute  of Technology Gandhinagar_Computer Science and Engineering (4 Years, Bachelor of Technology)",135,18500.0
Indian Institute  of Technology Gandhinagar,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,2282,4162,2026,"Indian Institute  of Technology Gandhinagar_Electrical Engineering (4 Years, Bachelor of Technology)",136,18500.0
Indian Institute  of Technology Gandhinagar,"Materials Science and Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,6923,12006,2026,"Indian Institute  of Technology Gandhinagar_Materials Science and Engineering (4 Years, Bachelor of Technology)",137,18500.0
Indian Institute  of Technology Gandhinagar,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,4409,7306,2026,"Indian Institute  of Technology Gandhinagar_Mechanical Engineering (4 Years, Bachelor of Technology)",138,18500.0
Indian Institute  of Technology Patna,"Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,11304,13870,2026,"Indian Institute  of Technology Patna_Chemical Engineering (4 Years, Bachelor of Technology)",139,18500.0
Indian Institute  of Technology Patna,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,12605,15503,2026,"Indian Institute  of Technology Patna_Civil Engineering (4 Years, Bachelor of Technology)",140,18500.0
Indian Institute  of Technology Patna,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,1954,2932,2026,"Indian Institute  of Technology Patna_Computer Science and Engineering (4 Years, Bachelor of Technology)",141,18500.0
Indian Institute  of Technology Patna,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,3813,9917,2026,"Indian Institute  of Technology Patna_Electrical Engineering (4 Years, Bachelor of Technology)",142,18500.0
Indian Institute  of Technology Patna,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,8588,11497,2026,"Indian Institute  of Technology Patna_Mechanical Engineering (4 Years, Bachelor of Technology)",143,18500.0
Indian Institute  of Technology Roorkee,"Applied Mathematics (5 Years, Integrated Master of Science)",OPEN,neutral,1937,1942,2026,"Indian Institute  of Technology Roorkee_Applied Mathematics (5 Years, Integrated Master of Science)",144,18500.0
Indian Institute  of Technology Roorkee,"Architecture  (5 Years, Bachelor of Architecture)",OPEN,neutral,12842,19569,2026,"Indian Institute  of Technology Roorkee_Architecture  (5 Years, Bachelor of Architecture)",145,18500.0
Indian Institute  of Technology Roorkee,"Bio Technology (4 Years, Bachelor of Technology)",OPEN,neutral,6249,8465,2026,"Indian Institute  of Technology Roorkee_Bio Technology (4 Years, Bachelor of Technology)",146,18500.0
Indian Institute  of Technology Roorkee,"Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,3428,4998,2026,"Indian Institute  of Technology Roorkee_Chemical Engineering (4 Years, Bachelor of Technology)",147,18500.0
Indian Institute  of Technology Roorkee,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,5247,7112,2026,"Indian Institute  of Technology Roorkee_Civil Engineering (4 Years, Bachelor of Technology)",148,18500.0
Indian Institute  of Technology Roorkee,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,275,465,2026,"Indian Institute  of Technology Roorkee_Computer Science and Engineering (4 Years, Bachelor of Technology)",149,18500.0
Indian Institute  of Technology Roorkee,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,1254,2096,2026,"Indian Institute  of Technology Roorkee_Electrical Engineering (4 Years, Bachelor of Technology)",150,18500.0
Indian Institute  of Technology Roorkee,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,1048,1429,2026,"Indian Institute  of Technology Roorkee_Electronics and Communication Engineering (4 Years, Bachelor of Technology)",151,18500.0
Indian Institute  of Technology Roorkee,"Engineering Physics (4 Years, Bachelor of Technology)",OPEN,neutral,2633,4454,2026,"Indian Institute  of Technology Roorkee_Engineering Physics (4 Years, Bachelor of Technology)",152,18500.0
Indian Institute  of Technology Roorkee,"Geological Technology (5 Years, Integrated Master of Technology)",OPEN,neutral,8661,10884,2026,"Indian Institute  of Technology Roorkee_Geological Technology (5 Years, Integrated Master of Technology)",153,18500.0
Indian Institute  of Technology Roorkee,"Geophysical Technology (5 Years, Integrated Master of Technology)",OPEN,neutral,6428,9861,2026,"Indian Institute  of Technology Roorkee_Geophysical Technology (5 Years, Integrated Master of Technology)",154,18500.0
Indian Institute  of Technology Roorkee,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,2155,4071,2026,"Indian Institute  of Technology Roorkee_Mechanical Engineering (4 Years, Bachelor of Technology)",155,18500.0
Indian Institute  of Technology Roorkee,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,6280,7548,2026,"Indian Institute  of Technology Roorkee_Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",156,18500.0
Indian Institute  of Technology Roorkee,"Polymer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,7165,8899,2026,"Indian Institute  of Technology Roorkee_Polymer Science and Engineering (4 Years, Bachelor of Technology)",157,18500.0
Indian Institute  of Technology Roorkee,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,4510,5881,2026,"Indian Institute  of Technology Roorkee_Production and Industrial Engineering (4 Years, Bachelor of Technology)",158,18500.0
Indian Institute  of Technology (ISM) Dhanbad,"Applied Geology (5 Years, Integrated Master of Technology)",OPEN,neutral,16335,17633,2026,"Indian Institute  of Technology (ISM) Dhanbad_Applied Geology (5 Years, Integrated Master of Technology)",159,18500.0
Indian Institute  of Technology (ISM) Dhanbad,"Applied Geophysics (5 Years, Integrated Master of Technology)",OPEN,neutral,16223,17163,2026,"Indian Institute  of Technology (ISM) Dhanbad_Applied Geophysics (5 Years, Integrated Master of Technology)",160,18500.0
Indian Institute  of Technology (ISM) Dhanbad,"Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,9636,12019,2026,"Indian Institute  of Technology (ISM) Dhanbad_Chemical Engineering (4 Years, Bachelor of Technology)",161,18500.0
Indian Institute  of Technology (ISM) Dhanbad,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,10753,13557,2026,"Indian Institute  of Technology (ISM) Dhanbad_Civil Engineering (4 Years, Bachelor of Technology)",162,18500.0
Indian Institute  of Technology (ISM) Dhanbad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,2143,3322,2026,"Indian Institute  of Technology (ISM) Dhanbad_Computer Science and Engineering (4 Years, Bachelor of Technology)",163,18500.0
Indian Institute  of Technology (ISM) Dhanbad,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,2972,2977,2026,"Indian Institute  of Technology (ISM) Dhanbad_Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",164,18500.0
Indian Institute  of Technology (ISM) Dhanbad,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,5842,7621,2026,"Indian Institute  of Technology (ISM) Dhanbad_Electrical Engineering (4 Years, Bachelor of Technology)",165,18500.0
Indian Institute  of Technology (ISM) Dhanbad,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,2795,5577,2026,"Indian Institute  of Technology (ISM) Dhanbad_Electronics and Communication Engineering (4 Years, Bachelor of Technology)",166,18500.0
Indian Institute  of Technology (ISM) Dhanbad,"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,5194,7367,2026,"Indian Institute  of Technology (ISM) Dhanbad_Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",167,18500.0
Indian Institute  of Technology (ISM) Dhanbad,"Engineering Physics (4 Years, Bachelor of Technology)",OPEN,neutral,8484,11546,2026,"Indian Institute  of Technology (ISM) Dhanbad_Engineering Physics (4 Years, Bachelor of Technology)",168,18500.0
Indian Institute  of Technology (ISM) Dhanbad,"Environmental Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,14372,16487,2026,"Indian Institute  of Technology (ISM) Dhanbad_Environmental Engineering (4 Years, Bachelor of Technology)",169,18500.0
Indian Institute  of Technology (ISM) Dhanbad,"Mathematics and Computing (5 Years, Integrated Master of Technology)",OPEN,neutral,3401,4487,2026,"Indian Institute  of Technology (ISM) Dhanbad_Mathematics and Computing (5 Years, Integrated Master of Technology)",170,18500.0
Indian Institute  of Technology (ISM) Dhanbad,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,7662,10208,2026,"Indian Institute  of Technology (ISM) Dhanbad_Mechanical Engineering (4 Years, Bachelor of Technology)",171,18500.0
Indian Institute  of Technology (ISM) Dhanbad,"Mineral Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,5304,15901,2026,"Indian Institute  of Technology (ISM) Dhanbad_Mineral Engineering (4 Years, Bachelor of Technology)",172,18500.0
Indian Institute  of Technology (ISM) Dhanbad,"Mining Engineering  (4 Years, Bachelor of Technology)",OPEN,neutral,12833,15811,2026,"Indian Institute  of Technology (ISM) Dhanbad_Mining Engineering  (4 Years, Bachelor of Technology)",173,18500.0
Indian Institute  of Technology (ISM) Dhanbad,"Mining Machinery Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,12787,16640,2026,"Indian Institute  of Technology (ISM) Dhanbad_Mining Machinery Engineering (4 Years, Bachelor of Technology)",174,18500.0
Indian Institute  of Technology (ISM) Dhanbad,"Petroleum Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,9681,13211,2026,"Indian Institute  of Technology (ISM) Dhanbad_Petroleum Engineering (4 Years, Bachelor of Technology)",175,18500.0
Indian Institute  of Technology Ropar,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,9142,12466,2026,"Indian Institute  of Technology Ropar_Civil Engineering (4 Years, Bachelor of Technology)",176,18500.0
Indian Institute  of Technology Ropar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,1680,2160,2026,"Indian Institute  of Technology Ropar_Computer Science and Engineering (4 Years, Bachelor of Technology)",177,18500.0
Indian Institute  of Technology Ropar,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,3940,5915,2026,"Indian Institute  of Technology Ropar_Electrical Engineering (4 Years, Bachelor of Technology)",178,18500.0
Indian Institute  of Technology Ropar,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,7135,9069,2026,"Indian Institute  of Technology Ropar_Mechanical Engineering (4 Years, Bachelor of Technology)",179,18500.0
Indian Institute  of Technology Ropar,"Mechanical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,6992,11177,2026,"Indian Institute  of Technology Ropar_Mechanical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",180,18500.0
Indian Institute  of Technology (BHU) Varanasi,"Biochemical Engineering with M.Tech. in Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,10717,14747,2026,"Indian Institute  of Technology (BHU) Varanasi_Biochemical Engineering with M.Tech. in Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",181,18500.0
Indian Institute  of Technology (BHU) Varanasi,"Bioengineering with M.Tech in Biomedical Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,11279,14402,2026,"Indian Institute  of Technology (BHU) Varanasi_Bioengineering with M.Tech in Biomedical Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",182,18500.0
Indian Institute  of Technology (BHU) Varanasi,"Ceramic Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,10901,13530,2026,"Indian Institute  of Technology (BHU) Varanasi_Ceramic Engineering (4 Years, Bachelor of Technology)",183,18500.0
Indian Institute  of Technology (BHU) Varanasi,"Ceramic Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,12260,15268,2026,"Indian Institute  of Technology (BHU) Varanasi_Ceramic Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",184,18500.0
Indian Institute  of Technology (BHU) Varanasi,"Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,6239,8626,2026,"Indian Institute  of Technology (BHU) Varanasi_Chemical Engineering (4 Years, Bachelor of Technology)",185,18500.0
Indian Institute  of Technology (BHU) Varanasi,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,7606,10314,2026,"Indian Institute  of Technology (BHU) Varanasi_Civil Engineering (4 Years, Bachelor of Technology)",186,18500.0
Indian Institute  of Technology (BHU) Varanasi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,747,1123,2026,"Indian Institute  of Technology (BHU) Varanasi_Computer Science and Engineering (4 Years, Bachelor of Technology)",187,18500.0
Indian Institute  of Technology (BHU) Varanasi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,1120,1370,2026,"Indian Institute  of Technology (BHU) Varanasi_Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",188,18500.0
Indian Institute  of Technology (BHU) Varanasi,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,2343,3625,2026,"Indian Institute  of Technology (BHU) Varanasi_Electrical Engineering (4 Years, Bachelor of Technology)",189,18500.0
Indian Institute  of Technology (BHU) Varanasi,"Electrical Engineering with M.Tech. in Power Electronics (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,3826,5072,2026,"Indian Institute  of Technology (BHU) Varanasi_Electrical Engineering with M.Tech. in Power Electronics (5 Years, Bachelor and Master of Technology (Dual Degree))",190,18500.0
Indian Institute  of Technology (BHU) Varanasi,"Electronics Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,1956,2794,2026,"Indian Institute  of Technology (BHU) Varanasi_Electronics Engineering (4 Years, Bachelor of Technology)",191,18500.0
Indian Institute  of Technology (BHU) Varanasi,"Materials Science and Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,8540,13741,2026,"Indian Institute  of Technology (BHU) Varanasi_Materials Science and Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",192,18500.0
Indian Institute  of Technology (BHU) Varanasi,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,4787,7252,2026,"Indian Institute  of Technology (BHU) Varanasi_Mechanical Engineering (4 Years, Bachelor of Technology)",193,18500.0
Indian Institute  of Technology (BHU) Varanasi,"Mechanical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,6689,8384,2026,"Indian Institute  of Technology (BHU) Varanasi_Mechanical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",194,18500.0
Indian Institute  of Technology (BHU) Varanasi,"Metallurgical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,8214,11451,2026,"Indian Institute  of Technology (BHU) Varanasi_Metallurgical Engineering (4 Years, Bachelor of Technology)",195,18500.0
Indian Institute  of Technology (BHU) Varanasi,"Metallurgical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,10791,12797,2026,"Indian Institute  of Technology (BHU) Varanasi_Metallurgical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",196,18500.0
Indian Institute  of Technology (BHU) Varanasi,"Mining Engineering  (4 Years, Bachelor of Technology)",OPEN,neutral,11434,13997,2026,"Indian Institute  of Technology (BHU) Varanasi_Mining Engineering  (4 Years, Bachelor of Technology)",197,18500.0
Indian Institute  of Technology (BHU) Varanasi,"Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,12958,15846,2026,"Indian Institute  of Technology (BHU) Varanasi_Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",198,18500.0
Indian Institute  of Technology Guwahati,"Bio Technology (4 Years, Bachelor of Technology)",OPEN,neutral,6281,9765,2026,"Indian Institute  of Technology Guwahati_Bio Technology (4 Years, Bachelor of Technology)",199,18500.0
Indian Institute  of Technology Guwahati,"Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,4289,6078,2026,"Indian Institute  of Technology Guwahati_Chemical Engineering (4 Years, Bachelor of Technology)",200,18500.0
Indian Institute  of Technology Guwahati,"Chemical Science and Technology (4 Years, Bachelor of Technology)",OPEN,neutral,6432,8011,2026,"Indian Institute  of Technology Guwahati_Chemical Science and Technology (4 Years, Bachelor of Technology)",201,18500.0
Indian Institute  of Technology Guwahati,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,7268,8569,2026,"Indian Institute  of Technology Guwahati_Civil Engineering (4 Years, Bachelor of Technology)",202,18500.0
Indian Institute  of Technology Guwahati,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,504,652,2026,"Indian Institute  of Technology Guwahati_Computer Science and Engineering (4 Years, Bachelor of Technology)",203,18500.0
Indian Institute  of Technology Guwahati,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,1497,1726,2026,"Indian Institute  of Technology Guwahati_Electronics and Communication Engineering (4 Years, Bachelor of Technology)",204,18500.0
Indian Institute  of Technology Guwahati,"Electronics and Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,1934,2217,2026,"Indian Institute  of Technology Guwahati_Electronics and Electrical Engineering (4 Years, Bachelor of Technology)",205,18500.0
Indian Institute  of Technology Guwahati,"Engineering Physics (4 Years, Bachelor of Technology)",OPEN,neutral,4635,6494,2026,"Indian Institute  of Technology Guwahati_Engineering Physics (4 Years, Bachelor of Technology)",206,18500.0
Indian Institute  of Technology Guwahati,"Mathematics and Computing (4 Years, Bachelor of Technology)",OPEN,neutral,899,1083,2026,"Indian Institute  of Technology Guwahati_Mathematics and Computing (4 Years, Bachelor of Technology)",207,18500.0
Indian Institute  of Technology Guwahati,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,3984,5022,2026,"Indian Institute  of Technology Guwahati_Mechanical Engineering (4 Years, Bachelor of Technology)",208,18500.0
Indian Institute of Technology Bhilai,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,4462,6201,2026,"Indian Institute of Technology Bhilai_Computer Science and Engineering (4 Years, Bachelor of Technology)",209,18500.0
Indian Institute of Technology Bhilai,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,9645,11135,2026,"Indian Institute of Technology Bhilai_Electrical Engineering (4 Years, Bachelor of Technology)",210,18500.0
Indian Institute of Technology Bhilai,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,11516,14664,2026,"Indian Institute of Technology Bhilai_Mechanical Engineering (4 Years, Bachelor of Technology)",211,18500.0
Indian Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,4256,4777,2026,"Indian Institute of Technology Goa_Computer Science and Engineering (4 Years, Bachelor of Technology)",212,18500.0
Indian Institute of Technology Goa,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,8410,9519,2026,"Indian Institute of Technology Goa_Electrical Engineering (4 Years, Bachelor of Technology)",213,18500.0
Indian Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,9914,13493,2026,"Indian Institute of Technology Goa_Mechanical Engineering (4 Years, Bachelor of Technology)",214,18500.0
Indian Institute  of Technology Palakkad,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,14109,17007,2026,"Indian Institute  of Technology Palakkad_Civil Engineering (4 Years, Bachelor of Technology)",215,18500.0
Indian Institute  of Technology Palakkad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,4530,5635,2026,"Indian Institute  of Technology Palakkad_Computer Science and Engineering (4 Years, Bachelor of Technology)",216,18500.0
Indian Institute  of Technology Palakkad,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,8020,10269,2026,"Indian Institute  of Technology Palakkad_Electrical Engineering (4 Years, Bachelor of Technology)",217,18500.0
Indian Institute  of Technology Palakkad,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,8596,13416,2026,"Indian Institute  of Technology Palakkad_Mechanical Engineering (4 Years, Bachelor of Technology)",218,18500.0
Indian Institute  of Technology Tirupati,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,8956,16755,2026,"Indian Institute  of Technology Tirupati_Civil Engineering (4 Years, Bachelor of Technology)",219,18500.0
Indian Institute  of Technology Tirupati,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,1916,4270,2026,"Indian Institute  of Technology Tirupati_Computer Science and Engineering (4 Years, Bachelor of Technology)",220,18500.0
Indian Institute  of Technology Tirupati,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,5098,8904,2026,"Indian Institute  of Technology Tirupati_Electrical Engineering (4 Years, Bachelor of Technology)",221,18500.0
Indian Institute  of Technology Tirupati,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,9551,12214,2026,"Indian Institute  of Technology Tirupati_Mechanical Engineering (4 Years, Bachelor of Technology)",222,18500.0
Indian Institute of Technology Jammu,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,4704,5432,2026,"Indian Institute of Technology Jammu_Computer Science and Engineering (4 Years, Bachelor of Technology)",223,18500.0
Indian Institute of Technology Jammu,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,9759,10433,2026,"Indian Institute of Technology Jammu_Electrical Engineering (4 Years, Bachelor of Technology)",224,18500.0
Indian Institute of Technology Jammu,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,11301,14304,2026,"Indian Institute of Technology Jammu_Mechanical Engineering (4 Years, Bachelor of Technology)",225,18500.0
Indian Institute of Technology Dharwad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,4742,5918,2026,"Indian Institute of Technology Dharwad_Computer Science and Engineering (4 Years, Bachelor of Technology)",226,18500.0
Indian Institute of Technology Dharwad,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,7548,10496,2026,"Indian Institute of Technology Dharwad_Electrical Engineering (4 Years, Bachelor of Technology)",227,18500.0
Indian Institute of Technology Dharwad,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,11721,14537,2026,"Indian Institute of Technology Dharwad_Mechanical Engineering (4 Years, Bachelor of Technology)",228,18500.0
Indian Institute  of Technology Bhubaneswar,"Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,15346,16377,2026,"Indian Institute  of Technology Bhubaneswar_Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",229,18500.0
Indian Institute  of Technology Bhubaneswar,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,3287,3292,2026,"Indian Institute  of Technology Bhubaneswar_Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",230,18500.0
Indian Institute  of Technology Bhubaneswar,"Electrical  Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,7414,7844,2026,"Indian Institute  of Technology Bhubaneswar_Electrical  Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))",231,18500.0
Indian Institute  of Technology Bhubaneswar,"Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,11643,12629,2026,"Indian Institute  of Technology Bhubaneswar_Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",232,18500.0
Indian Institute  of Technology Bhubaneswar,"Metallurgical and Materials Engineering and M.Tech. in Materials Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,9195,24365,2026,"Indian Institute  of Technology Bhubaneswar_Metallurgical and Materials Engineering and M.Tech. in Materials Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",233,18500.0
Indian Institute  of Technology Bombay,"Economics (4 Years, Bachelor of Science)",OPEN,neutral,1531,2202,2026,"Indian Institute  of Technology Bombay_Economics (4 Years, Bachelor of Science)",234,18500.0
Indian Institute  of Technology Hyderabad,"Mathematics and Computing (4 Years, Bachelor of Technology)",OPEN,neutral,771,946,2026,"Indian Institute  of Technology Hyderabad_Mathematics and Computing (4 Years, Bachelor of Technology)",235,18500.0
Indian Institute  of Technology Roorkee,"Chemistry (5 Years, Integrated Master of Science)",OPEN,neutral,8657,13163,2026,"Indian Institute  of Technology Roorkee_Chemistry (5 Years, Integrated Master of Science)",236,18500.0
Indian Institute  of Technology Roorkee,"Physics (5 Years, Integrated Master of Science)",OPEN,neutral,4955,9151,2026,"Indian Institute  of Technology Roorkee_Physics (5 Years, Integrated Master of Science)",237,18500.0
Indian Institute  of Technology Ropar,"Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,8901,10900,2026,"Indian Institute  of Technology Ropar_Chemical Engineering (4 Years, Bachelor of Technology)",238,18500.0
Indian Institute  of Technology (BHU) Varanasi,"Civil Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,8533,11463,2026,"Indian Institute  of Technology (BHU) Varanasi_Civil Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",239,18500.0
Indian Institute  of Technology (BHU) Varanasi,"Engineering Physics (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,6196,8905,2026,"Indian Institute  of Technology (BHU) Varanasi_Engineering Physics (5 Years, Bachelor and Master of Technology (Dual Degree))",240,18500.0
Indian Institute  of Technology (BHU) Varanasi,"Industrial Chemistry (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,10813,14090,2026,"Indian Institute  of Technology (BHU) Varanasi_Industrial Chemistry (5 Years, Bachelor and Master of Technology (Dual Degree))",241,18500.0
Indian Institute  of Technology (BHU) Varanasi,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,1538,2185,2026,"Indian Institute  of Technology (BHU) Varanasi_Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",242,18500.0
Indian Institute  of Technology (BHU) Varanasi,"Pharmaceutical Engineering & Technology (4 Years, Bachelor of Technology)",OPEN,neutral,11585,14873,2026,"Indian Institute  of Technology (BHU) Varanasi_Pharmaceutical Engineering & Technology (4 Years, Bachelor of Technology)",243,18500.0
Indian Institute  of Technology (BHU) Varanasi,"Pharmaceutical Engineering & Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,13669,16021,2026,"Indian Institute  of Technology (BHU) Varanasi_Pharmaceutical Engineering & Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",244,18500.0
Indian Institute of Technology Jammu,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,15448,17185,2026,"Indian Institute of Technology Jammu_Civil Engineering (4 Years, Bachelor of Technology)",245,18500.0
Indian Institute  of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",OPEN,neutral,753,1536,2026,"Indian Institute  of Technology Bombay_BS in Mathematics (4 Years, Bachelor of Science)",246,18500.0
Indian Institute  of Technology Bombay,"Environmental Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,3926,5134,2026,"Indian Institute  of Technology Bombay_Environmental Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",247,18500.0
Indian Institute  of Technology Ropar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,10832,14131,2026,"Indian Institute  of Technology Ropar_Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",248,18500.0
