institute,branch,seat_type,gender,or,cr,year,course,course_id
Indian Institute  of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,26,777,2016,"Indian Institute  of Technology Bombay_Mechanical Engineering (4 Years, Bachelor of Technology)",22
Indian Institute  of Technology Bombay,"Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,803,901,2016,"Indian Institute  of Technology Bombay_Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",23
Indian Institute  of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",OPEN,neutral,1657,2971,2016,"Indian Institute  of Technology Bombay_Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",24
Indian Institute  of Technology Bombay,"Metallurgical Engineering and Materials Science with M.Tech. in Ceramics and Composites (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,3001,3450,2016,"Indian Institute  of Technology Bombay_Metallurgical Engineering and Materials Science with M.Tech. in Ceramics and Composites (5 Years, Bachelor and Master of Technology (Dual Degree))",25
Indian Institute  of Technology Bombay,"Metallurgical Engineering and Materials Science with M.Tech. in Metallurgical Process Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,3113,3403,2016,"Indian Institute  of Technology Bombay_Metallurgical Engineering and Materials Science with M.Tech. in Metallurgical Process Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",26
Indian Institute  of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,6162,7124,2016,"Indian Institute  of Technology Mandi_Civil Engineering (4 Years, Bachelor of Technology)",27
Indian Institute  of Technology Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,1701,2450,2016,"Indian Institute  of Technology Mandi_Computer Science and Engineering (4 Years, Bachelor of Technology)",28
Indian Institute  of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,3782,4904,2016,"Indian Institute  of Technology Mandi_Electrical Engineering (4 Years, Bachelor of Technology)",29
Indian Institute  of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,4670,6094,2016,"Indian Institute  of Technology Mandi_Mechanical Engineering (4 Years, Bachelor of Technology)",30
Indian Institute  of Technology Delhi,"Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,3787,4714,2016,"Indian Institute  of Technology Delhi_Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",31
Indian Institute  of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,2609,3718,2016,"Indian Institute  of Technology Delhi_Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",32
Indian Institute  of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,980,1704,2016,"Indian Institute  of Technology Delhi_Chemical Engineering (4 Years, Bachelor of Technology)",33
Indian Institute  of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,1729,2996,2016,"Indian Institute  of Technology Delhi_Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",34
Indian Institute  of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,767,2618,2016,"Indian Institute  of Technology Delhi_Civil Engineering (4 Years, Bachelor of Technology)",35
Indian Institute  of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,24,115,2016,"Indian Institute  of Technology Delhi_Computer Science and Engineering (4 Years, Bachelor of Technology)",36
Indian Institute  of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,124,186,2016,"Indian Institute  of Technology Delhi_Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",37
Indian Institute  of Technology Delhi,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,80,403,2016,"Indian Institute  of Technology Delhi_Electrical Engineering (4 Years, Bachelor of Technology)",38
Indian Institute  of Technology Delhi,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",OPEN,neutral,549,999,2016,"Indian Institute  of Technology Delhi_Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",39
Indian Institute  of Technology Delhi,"Engineering Physics (4 Years, Bachelor of Technology)",OPEN,neutral,1074,2809,2016,"Indian Institute  of Technology Delhi_Engineering Physics (4 Years, Bachelor of Technology)",40
Indian Institute  of Technology Delhi,"Mathematics and Computing (4 Years, Bachelor of Technology)",OPEN,neutral,250,397,2016,"Indian Institute  of Technology Delhi_Mathematics and Computing (4 Years, Bachelor of Technology)",41
Indian Institute  of Technology Delhi,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,390,477,2016,"Indian Institute  of Technology Delhi_Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",42
Indian Institute  of Technology Delhi,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,247,907,2016,"Indian Institute  of Technology Delhi_Mechanical Engineering (4 Years, Bachelor of Technology)",43
Indian Institute  of Technology Delhi,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,1036,2526,2016,"Indian Institute  of Technology Delhi_Production and Industrial Engineering (4 Years, Bachelor of Technology)",44
Indian Institute  of Technology Delhi,"Textile Technology (4 Years, Bachelor of Technology)",OPEN,neutral,2826,5431,2016,"Indian Institute  of Technology Delhi_Textile Technology (4 Years, Bachelor of Technology)",45
Indian Institute  of Technology Indore,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,4626,6561,2016,"Indian Institute  of Technology Indore_Civil Engineering (4 Years, Bachelor of Technology)",46
Indian Institute  of Technology Indore,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,933,1411,2016,"Indian Institute  of Technology Indore_Computer Science and Engineering (4 Years, Bachelor of Technology)",47
Indian Institute  of Technology Indore,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,1730,3577,2016,"Indian Institute  of Technology Indore_Electrical Engineering (4 Years, Bachelor of Technology)",48
Indian Institute  of Technology Indore,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,3432,4434,2016,"Indian Institute  of Technology Indore_Mechanical Engineering (4 Years, Bachelor of Technology)",49
Indian Institute  of Technology Indore,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",OPEN,neutral,6082,7732,2016,"Indian Institute  of Technology Indore_Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",50
Indian Institute  of Technology Kharagpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,2864,3497,2016,"Indian Institute  of Technology Kharagpur_Aerospace Engineering (4 Years, Bachelor of Technology)",51
Indian Institute  of Technology Kharagpur,"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,2938,4033,2016,"Indian Institute  of Technology Kharagpur_Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",52
Indian Institute  of Technology Kharagpur,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,4321,6312,2016,"Indian Institute  of Technology Kharagpur_Agricultural and Food Engineering (4 Years, Bachelor of Technology)",53
Indian Institute  of Technology Kharagpur,"Agricultural and Food Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,6306,7455,2016,"Indian Institute  of Technology Kharagpur_Agricultural and Food Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",54
Indian Institute  of Technology Kharagpur,"Applied Geology (5 Years, Integrated Master of Science)",OPEN,neutral,6645,8658,2016,"Indian Institute  of Technology Kharagpur_Applied Geology (5 Years, Integrated Master of Science)",55
Indian Institute  of Technology Kharagpur,"Architecture  (5 Years, Bachelor of Architecture)",OPEN,neutral,5783,10310,2016,"Indian Institute  of Technology Kharagpur_Architecture  (5 Years, Bachelor of Architecture)",56
Indian Institute  of Technology Kharagpur,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,4183,5437,2016,"Indian Institute  of Technology Kharagpur_Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",57
Indian Institute  of Technology Kharagpur,"Biotechnology and Biochemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,5556,6904,2016,"Indian Institute  of Technology Kharagpur_Biotechnology and Biochemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",58
Indian Institute  of Technology Kharagpur,"Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,1906,2965,2016,"Indian Institute  of Technology Kharagpur_Chemical Engineering (4 Years, Bachelor of Technology)",59
Indian Institute  of Technology Kharagpur,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,3009,3606,2016,"Indian Institute  of Technology Kharagpur_Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",60
Indian Institute  of Technology Kharagpur,"Chemistry (5 Years, Integrated Master of Science)",OPEN,neutral,3979,8727,2016,"Indian Institute  of Technology Kharagpur_Chemistry (5 Years, Integrated Master of Science)",61
Indian Institute  of Technology Kharagpur,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,2728,3788,2016,"Indian Institute  of Technology Kharagpur_Civil Engineering (4 Years, Bachelor of Technology)",62
Indian Institute  of Technology Kharagpur,"Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,3559,4158,2016,"Indian Institute  of Technology Kharagpur_Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master of Technology (Dual Degree))",63
Indian Institute  of Technology Kharagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,181,286,2016,"Indian Institute  of Technology Kharagpur_Computer Science and Engineering (4 Years, Bachelor of Technology)",64
Indian Institute  of Technology Kharagpur,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,284,389,2016,"Indian Institute  of Technology Kharagpur_Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",65
Indian Institute  of Technology Kharagpur,"Economics (5 Years, Integrated Master of Science)",OPEN,neutral,2779,4128,2016,"Indian Institute  of Technology Kharagpur_Economics (5 Years, Integrated Master of Science)",66
Indian Institute  of Technology Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,138,1190,2016,"Indian Institute  of Technology Kharagpur_Electrical Engineering (4 Years, Bachelor of Technology)",67
Indian Institute  of Technology Kharagpur,"Electrical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,1288,1556,2016,"Indian Institute  of Technology Kharagpur_Electrical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",68
Indian Institute  of Technology Kharagpur,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,329,890,2016,"Indian Institute  of Technology Kharagpur_Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",69
Indian Institute  of Technology Kharagpur,"Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,915,1320,2016,"Indian Institute  of Technology Kharagpur_Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",70
Indian Institute  of Technology Kharagpur,"Exploration Geophysics (5 Years, Integrated Master of Science)",OPEN,neutral,5566,7242,2016,"Indian Institute  of Technology Kharagpur_Exploration Geophysics (5 Years, Integrated Master of Science)",71
Indian Institute  of Technology Kharagpur,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,2819,3442,2016,"Indian Institute  of Technology Kharagpur_Industrial and Systems Engineering (4 Years, Bachelor of Technology)",72
Indian Institute  of Technology Kharagpur,"Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,3492,4563,2016,"Indian Institute  of Technology Kharagpur_Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",73
Indian Institute  of Technology Kharagpur,"Instrumentation Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,1663,2623,2016,"Indian Institute  of Technology Kharagpur_Instrumentation Engineering (4 Years, Bachelor of Technology)",74
