institute,branch,seat_type,gender,or,cr,year,course,course_id
Indian Institute  of Technology Kanpur,"Mathematics and Scientific Computing (4 Years, Bachelor of Science)",OPEN,neutral,365,921,2017,"Indian Institute  of Technology Kanpur_Mathematics and Scientific Computing (4 Years, Bachelor of Science)",110
Indian Institute  of Technology Kanpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,943,1409,2017,"Indian Institute  of Technology Kanpur_Mechanical Engineering (4 Years, Bachelor of Technology)",111
Indian Institute  of Technology Kanpur,"Physics (4 Years, Bachelor of Science)",OPEN,neutral,303,3703,2017,"Indian Institute  of Technology Kanpur_Physics (4 Years, Bachelor of Science)",112
Indian Institute  of Technology Madras,"Aerospace Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,1506,2995,2017,"Indian Institute  of Technology Madras_Aerospace Engineering (4 Years, Bachelor of Technology)",113
Indian Institute  of Technology Madras,"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,869,3360,2017,"Indian Institute  of Technology Madras_Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",114
Indian Institute  of Technology Madras,"Biological Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,2522,6345,2017,"Indian Institute  of Technology Madras_Biological Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",115
Indian Institute  of Technology Madras,"Biological Sciences (5 Years, Bachelor of Science and Master of Science (Dual Degree))",OPEN,neutral,3438,8849,2017,"Indian Institute  of Technology Madras_Biological Sciences (5 Years, Bachelor of Science and Master of Science (Dual Degree))",116
Indian Institute  of Technology Madras,"Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,991,2802,2017,"Indian Institute  of Technology Madras_Chemical Engineering (4 Years, Bachelor of Technology)",117
Indian Institute  of Technology Madras,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,2994,3507,2017,"Indian Institute  of Technology Madras_Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",118
Indian Institute  of Technology Madras,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,2261,3632,2017,"Indian Institute  of Technology Madras_Civil Engineering (4 Years, Bachelor of Technology)",119
Indian Institute  of Technology Madras,"Civil Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,3645,4435,2017,"Indian Institute  of Technology Madras_Civil Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",120
Indian Institute  of Technology Madras,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,26,177,2017,"Indian Institute  of Technology Madras_Computer Science and Engineering (4 Years, Bachelor of Technology)",121
Indian Institute  of Technology Madras,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,200,265,2017,"Indian Institute  of Technology Madras_Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",122
Indian Institute  of Technology Madras,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,40,641,2017,"Indian Institute  of Technology Madras_Electrical Engineering (4 Years, Bachelor of Technology)",123
Indian Institute  of Technology Madras,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,651,1095,2017,"Indian Institute  of Technology Madras_Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",124
Indian Institute  of Technology Madras,"Engineering Design (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,1517,4173,2017,"Indian Institute  of Technology Madras_Engineering Design (5 Years, Bachelor and Master of Technology (Dual Degree))",125
Indian Institute  of Technology Madras,"Engineering Physics (4 Years, Bachelor of Technology)",OPEN,neutral,773,2166,2017,"Indian Institute  of Technology Madras_Engineering Physics (4 Years, Bachelor of Technology)",126
Indian Institute  of Technology Madras,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,163,1222,2017,"Indian Institute  of Technology Madras_Mechanical Engineering (4 Years, Bachelor of Technology)",127
Indian Institute  of Technology Madras,"Mechanical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,1249,1839,2017,"Indian Institute  of Technology Madras_Mechanical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",128
Indian Institute  of Technology Madras,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,3558,4546,2017,"Indian Institute  of Technology Madras_Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",129
Indian Institute  of Technology Madras,"Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,4425,4694,2017,"Indian Institute  of Technology Madras_Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",130
Indian Institute  of Technology Madras,"Naval Architecture and Ocean Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,3799,5030,2017,"Indian Institute  of Technology Madras_Naval Architecture and Ocean Engineering (4 Years, Bachelor of Technology)",131
Indian Institute  of Technology Madras,"Naval Architecture and Ocean Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,4715,5740,2017,"Indian Institute  of Technology Madras_Naval Architecture and Ocean Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",132
Indian Institute  of Technology Madras,"Physics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",OPEN,neutral,2177,3753,2017,"Indian Institute  of Technology Madras_Physics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",133
Indian Institute  of Technology Gandhinagar,"Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,4184,5507,2017,"Indian Institute  of Technology Gandhinagar_Chemical Engineering (4 Years, Bachelor of Technology)",134
Indian Institute  of Technology Gandhinagar,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,5210,6256,2017,"Indian Institute  of Technology Gandhinagar_Civil Engineering (4 Years, Bachelor of Technology)",135
Indian Institute  of Technology Gandhinagar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,1100,1736,2017,"Indian Institute  of Technology Gandhinagar_Computer Science and Engineering (4 Years, Bachelor of Technology)",136
Indian Institute  of Technology Gandhinagar,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,1897,3259,2017,"Indian Institute  of Technology Gandhinagar_Electrical Engineering (4 Years, Bachelor of Technology)",137
Indian Institute  of Technology Gandhinagar,"Materials Science and Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,6328,7835,2017,"Indian Institute  of Technology Gandhinagar_Materials Science and Engineering (4 Years, Bachelor of Technology)",138
Indian Institute  of Technology Gandhinagar,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,3083,4080,2017,"Indian Institute  of Technology Gandhinagar_Mechanical Engineering (4 Years, Bachelor of Technology)",139
Indian Institute  of Technology Patna,"Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,5943,8853,2017,"Indian Institute  of Technology Patna_Chemical Engineering (4 Years, Bachelor of Technology)",140
Indian Institute  of Technology Patna,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,6919,8281,2017,"Indian Institute  of Technology Patna_Civil Engineering (4 Years, Bachelor of Technology)",141
Indian Institute  of Technology Patna,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,1942,3298,2017,"Indian Institute  of Technology Patna_Computer Science and Engineering (4 Years, Bachelor of Technology)",142
Indian Institute  of Technology Patna,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,3649,6151,2017,"Indian Institute  of Technology Patna_Electrical Engineering (4 Years, Bachelor of Technology)",143
Indian Institute  of Technology Patna,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,5347,7237,2017,"Indian Institute  of Technology Patna_Mechanical Engineering (4 Years, Bachelor of Technology)",144
Indian Institute  of Technology Roorkee,"Applied Mathematics (5 Years, Integrated Master of Science)",OPEN,neutral,1876,2589,2017,"Indian Institute  of Technology Roorkee_Applied Mathematics (5 Years, Integrated Master of Science)",145
Indian Institute  of Technology Roorkee,"Architecture  (5 Years, Bachelor of Architecture)",OPEN,neutral,5062,14983,2017,"Indian Institute  of Technology Roorkee_Architecture  (5 Years, Bachelor of Architecture)",146
Indian Institute  of Technology Roorkee,"Bio Technology (4 Years, Bachelor of Technology)",OPEN,neutral,5478,6459,2017,"Indian Institute  of Technology Roorkee_Bio Technology (4 Years, Bachelor of Technology)",147
Indian Institute  of Technology Roorkee,"Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,2772,4078,2017,"Indian Institute  of Technology Roorkee_Chemical Engineering (4 Years, Bachelor of Technology)",148
Indian Institute  of Technology Roorkee,"Chemistry (5 Years, Integrated Master of Science)",OPEN,neutral,7228,8601,2017,"Indian Institute  of Technology Roorkee_Chemistry (5 Years, Integrated Master of Science)",243
Indian Institute  of Technology Roorkee,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,2935,4582,2017,"Indian Institute  of Technology Roorkee_Civil Engineering (4 Years, Bachelor of Technology)",149
Indian Institute  of Technology Roorkee,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,268,449,2017,"Indian Institute  of Technology Roorkee_Computer Science and Engineering (4 Years, Bachelor of Technology)",150
Indian Institute  of Technology Roorkee,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,1099,1905,2017,"Indian Institute  of Technology Roorkee_Electrical Engineering (4 Years, Bachelor of Technology)",151
Indian Institute  of Technology Roorkee,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,833,1406,2017,"Indian Institute  of Technology Roorkee_Electronics and Communication Engineering (4 Years, Bachelor of Technology)",152
Indian Institute  of Technology Roorkee,"Engineering Physics (4 Years, Bachelor of Technology)",OPEN,neutral,2519,4037,2017,"Indian Institute  of Technology Roorkee_Engineering Physics (4 Years, Bachelor of Technology)",153
Indian Institute  of Technology Roorkee,"Geological Technology (5 Years, Integrated Master of Technology)",OPEN,neutral,5704,6900,2017,"Indian Institute  of Technology Roorkee_Geological Technology (5 Years, Integrated Master of Technology)",154
Indian Institute  of Technology Roorkee,"Geophysical Technology (5 Years, Integrated Master of Technology)",OPEN,neutral,4806,6233,2017,"Indian Institute  of Technology Roorkee_Geophysical Technology (5 Years, Integrated Master of Technology)",155
Indian Institute  of Technology Roorkee,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,1616,2343,2017,"Indian Institute  of Technology Roorkee_Mechanical Engineering (4 Years, Bachelor of Technology)",156
Indian Institute  of Technology Roorkee,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,4310,5573,2017,"Indian Institute  of Technology Roorkee_Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",157
Indian Institute  of Technology Roorkee,"Physics (5 Years, Integrated Master of Science)",OPEN,neutral,6054,7160,2017,"Indian Institute  of Technology Roorkee_Physics (5 Years, Integrated Master of Science)",244
Indian Institute  of Technology Roorkee,"Polymer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,6088,7688,2017,"Indian Institute  of Technology Roorkee_Polymer Science and Engineering (4 Years, Bachelor of Technology)",158
Indian Institute  of Technology Roorkee,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,3866,4605,2017,"Indian Institute  of Technology Roorkee_Production and Industrial Engineering (4 Years, Bachelor of Technology)",159
Indian Institute  of Technology (ISM) Dhanbad,"Applied Geology (5 Years, Integrated Master of Technology)",OPEN,neutral,8704,10465,2017,"Indian Institute  of Technology (ISM) Dhanbad_Applied Geology (5 Years, Integrated Master of Technology)",245
Indian Institute  of Technology (ISM) Dhanbad,"Applied Geophysics (5 Years, Integrated Master of Technology)",OPEN,neutral,9211,10565,2017,"Indian Institute  of Technology (ISM) Dhanbad_Applied Geophysics (5 Years, Integrated Master of Technology)",246
Indian Institute  of Technology (ISM) Dhanbad,"Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,6710,8467,2017,"Indian Institute  of Technology (ISM) Dhanbad_Chemical Engineering (4 Years, Bachelor of Technology)",247
Indian Institute  of Technology (ISM) Dhanbad,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,6426,8565,2017,"Indian Institute  of Technology (ISM) Dhanbad_Civil Engineering (4 Years, Bachelor of Technology)",248
Indian Institute  of Technology (ISM) Dhanbad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,1350,3376,2017,"Indian Institute  of Technology (ISM) Dhanbad_Computer Science and Engineering (4 Years, Bachelor of Technology)",249
Indian Institute  of Technology (ISM) Dhanbad,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,3165,3570,2017,"Indian Institute  of Technology (ISM) Dhanbad_Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",250
Indian Institute  of Technology (ISM) Dhanbad,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,4225,6408,2017,"Indian Institute  of Technology (ISM) Dhanbad_Electrical Engineering (4 Years, Bachelor of Technology)",251
Indian Institute  of Technology (ISM) Dhanbad,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,3463,5742,2017,"Indian Institute  of Technology (ISM) Dhanbad_Electronics and Communication Engineering (4 Years, Bachelor of Technology)",252
Indian Institute  of Technology (ISM) Dhanbad,"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,5806,7070,2017,"Indian Institute  of Technology (ISM) Dhanbad_Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",253
Indian Institute  of Technology (ISM) Dhanbad,"Engineering Physics (4 Years, Bachelor of Technology)",OPEN,neutral,6292,7637,2017,"Indian Institute  of Technology (ISM) Dhanbad_Engineering Physics (4 Years, Bachelor of Technology)",254
Indian Institute  of Technology (ISM) Dhanbad,"Environmental Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,9103,10455,2017,"Indian Institute  of Technology (ISM) Dhanbad_Environmental Engineering (4 Years, Bachelor of Technology)",255
Indian Institute  of Technology (ISM) Dhanbad,"Mathematics and Computing (5 Years, Integrated Master of Technology)",OPEN,neutral,3574,4513,2017,"Indian Institute  of Technology (ISM) Dhanbad_Mathematics and Computing (5 Years, Integrated Master of Technology)",256
Indian Institute  of Technology (ISM) Dhanbad,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,4958,7000,2017,"Indian Institute  of Technology (ISM) Dhanbad_Mechanical Engineering (4 Years, Bachelor of Technology)",257
Indian Institute  of Technology (ISM) Dhanbad,"Mineral Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,9907,10491,2017,"Indian Institute  of Technology (ISM) Dhanbad_Mineral Engineering (4 Years, Bachelor of Technology)",258
Indian Institute  of Technology (ISM) Dhanbad,"Mining Engineering  (4 Years, Bachelor of Technology)",OPEN,neutral,5279,9773,2017,"Indian Institute  of Technology (ISM) Dhanbad_Mining Engineering  (4 Years, Bachelor of Technology)",259
Indian Institute  of Technology (ISM) Dhanbad,"Mining Machinery Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,6455,9990,2017,"Indian Institute  of Technology (ISM) Dhanbad_Mining Machinery Engineering (4 Years, Bachelor of Technology)",260
Indian Institute  of Technology (ISM) Dhanbad,"Petroleum Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,5240,8238,2017,"Indian Institute  of Technology (ISM) Dhanbad_Petroleum Engineering (4 Years, Bachelor of Technology)",261
Indian Institute  of Technology Ropar,"Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,5268,8075,2017,"Indian Institute  of Technology Ropar_Chemical Engineering (4 Years, Bachelor of Technology)",262
Indian Institute  of Technology Ropar,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,5455,8062,2017,"Indian Institute  of Technology Ropar_Civil Engineering (4 Years, Bachelor of Technology)",177
Indian Institute  of Technology Ropar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,1027,2029,2017,"Indian Institute  of Technology Ropar_Computer Science and Engineering (4 Years, Bachelor of Technology)",178
Indian Institute  of Technology Ropar,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,3211,4580,2017,"Indian Institute  of Technology Ropar_Electrical Engineering (4 Years, Bachelor of Technology)",179
Indian Institute  of Technology Ropar,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,4233,5763,2017,"Indian Institute  of Technology Ropar_Mechanical Engineering (4 Years, Bachelor of Technology)",180
Indian Institute  of Technology Ropar,"Mechanical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,5109,6356,2017,"Indian Institute  of Technology Ropar_Mechanical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",181
Indian Institute  of Technology (BHU) Varanasi,"Biochemical Engineering with M.Tech. in Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,6802,9537,2017,"Indian Institute  of Technology (BHU) Varanasi_Biochemical Engineering with M.Tech. in Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",182
Indian Institute  of Technology (BHU) Varanasi,"Bioengineering with M.Tech in Biomedical Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,8037,10303,2017,"Indian Institute  of Technology (BHU) Varanasi_Bioengineering with M.Tech in Biomedical Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",183
Indian Institute  of Technology (BHU) Varanasi,"Ceramic Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,6807,9561,2017,"Indian Institute  of Technology (BHU) Varanasi_Ceramic Engineering (4 Years, Bachelor of Technology)",184
Indian Institute  of Technology (BHU) Varanasi,"Ceramic Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,9344,10419,2017,"Indian Institute  of Technology (BHU) Varanasi_Ceramic Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",185
Indian Institute  of Technology (BHU) Varanasi,"Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,4006,5900,2017,"Indian Institute  of Technology (BHU) Varanasi_Chemical Engineering (4 Years, Bachelor of Technology)",186
Indian Institute  of Technology (BHU) Varanasi,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,4617,6026,2017,"Indian Institute  of Technology (BHU) Varanasi_Civil Engineering (4 Years, Bachelor of Technology)",187
Indian Institute  of Technology (BHU) Varanasi,"Civil Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,5357,6538,2017,"Indian Institute  of Technology (BHU) Varanasi_Civil Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",263
Indian Institute  of Technology (BHU) Varanasi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,479,935,2017,"Indian Institute  of Technology (BHU) Varanasi_Computer Science and Engineering (4 Years, Bachelor of Technology)",189
Indian Institute  of Technology (BHU) Varanasi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,974,1116,2017,"Indian Institute  of Technology (BHU) Varanasi_Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",190
Indian Institute  of Technology (BHU) Varanasi,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,2243,3296,2017,"Indian Institute  of Technology (BHU) Varanasi_Electrical Engineering (4 Years, Bachelor of Technology)",191
Indian Institute  of Technology (BHU) Varanasi,"Electrical Engineering with M.Tech. in Power Electronics (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,3122,3692,2017,"Indian Institute  of Technology (BHU) Varanasi_Electrical Engineering with M.Tech. in Power Electronics (5 Years, Bachelor and Master of Technology (Dual Degree))",192
Indian Institute  of Technology (BHU) Varanasi,"Electronics Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,1454,2806,2017,"Indian Institute  of Technology (BHU) Varanasi_Electronics Engineering (4 Years, Bachelor of Technology)",193
Indian Institute  of Technology (BHU) Varanasi,"Engineering Physics (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,4742,6599,2017,"Indian Institute  of Technology (BHU) Varanasi_Engineering Physics (5 Years, Bachelor and Master of Technology (Dual Degree))",264
Indian Institute  of Technology (BHU) Varanasi,"Industrial Chemistry (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,7097,9379,2017,"Indian Institute  of Technology (BHU) Varanasi_Industrial Chemistry (5 Years, Bachelor and Master of Technology (Dual Degree))",265
Indian Institute  of Technology (BHU) Varanasi,"Materials Science and Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,6759,8802,2017,"Indian Institute  of Technology (BHU) Varanasi_Materials Science and Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",196
Indian Institute  of Technology (BHU) Varanasi,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,1281,1657,2017,"Indian Institute  of Technology (BHU) Varanasi_Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",266
Indian Institute  of Technology (BHU) Varanasi,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,2467,4086,2017,"Indian Institute  of Technology (BHU) Varanasi_Mechanical Engineering (4 Years, Bachelor of Technology)",198
Indian Institute  of Technology (BHU) Varanasi,"Mechanical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,3578,4468,2017,"Indian Institute  of Technology (BHU) Varanasi_Mechanical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",199
Indian Institute  of Technology (BHU) Varanasi,"Metallurgical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,5750,7298,2017,"Indian Institute  of Technology (BHU) Varanasi_Metallurgical Engineering (4 Years, Bachelor of Technology)",200
Indian Institute  of Technology (BHU) Varanasi,"Metallurgical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,6929,8833,2017,"Indian Institute  of Technology (BHU) Varanasi_Metallurgical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",201
Indian Institute  of Technology (BHU) Varanasi,"Mining Engineering  (4 Years, Bachelor of Technology)",OPEN,neutral,7163,9271,2017,"Indian Institute  of Technology (BHU) Varanasi_Mining Engineering  (4 Years, Bachelor of Technology)",202
Indian Institute  of Technology (BHU) Varanasi,"Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,8491,10091,2017,"Indian Institute  of Technology (BHU) Varanasi_Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",203
Indian Institute  of Technology (BHU) Varanasi,"Pharmaceutical Engineering & Technology (4 Years, Bachelor of Technology)",OPEN,neutral,8409,10730,2017,"Indian Institute  of Technology (BHU) Varanasi_Pharmaceutical Engineering & Technology (4 Years, Bachelor of Technology)",267
Indian Institute  of Technology (BHU) Varanasi,"Pharmaceutical Engineering & Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,9511,10826,2017,"Indian Institute  of Technology (BHU) Varanasi_Pharmaceutical Engineering & Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",268
Indian Institute  of Technology Guwahati,"Bio Technology (4 Years, Bachelor of Technology)",OPEN,neutral,5966,7915,2017,"Indian Institute  of Technology Guwahati_Bio Technology (4 Years, Bachelor of Technology)",206
Indian Institute  of Technology Guwahati,"Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,3226,4739,2017,"Indian Institute  of Technology Guwahati_Chemical Engineering (4 Years, Bachelor of Technology)",207
Indian Institute  of Technology Guwahati,"Chemical Science and Technology (4 Years, Bachelor of Technology)",OPEN,neutral,4922,6670,2017,"Indian Institute  of Technology Guwahati_Chemical Science and Technology (4 Years, Bachelor of Technology)",208
Indian Institute  of Technology Guwahati,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,4327,5284,2017,"Indian Institute  of Technology Guwahati_Civil Engineering (4 Years, Bachelor of Technology)",209
Indian Institute  of Technology Guwahati,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,415,670,2017,"Indian Institute  of Technology Guwahati_Computer Science and Engineering (4 Years, Bachelor of Technology)",210
Indian Institute  of Technology Guwahati,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,1402,1987,2017,"Indian Institute  of Technology Guwahati_Electronics and Communication Engineering (4 Years, Bachelor of Technology)",211
Indian Institute  of Technology Guwahati,"Electronics and Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,1833,2219,2017,"Indian Institute  of Technology Guwahati_Electronics and Electrical Engineering (4 Years, Bachelor of Technology)",212
Indian Institute  of Technology Guwahati,"Engineering Physics (4 Years, Bachelor of Technology)",OPEN,neutral,3337,4845,2017,"Indian Institute  of Technology Guwahati_Engineering Physics (4 Years, Bachelor of Technology)",213
Indian Institute  of Technology Guwahati,"Mathematics and Computing (4 Years, Bachelor of Technology)",OPEN,neutral,836,1207,2017,"Indian Institute  of Technology Guwahati_Mathematics and Computing (4 Years, Bachelor of Technology)",214
Indian Institute  of Technology Guwahati,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,2342,2923,2017,"Indian Institute  of Technology Guwahati_Mechanical Engineering (4 Years, Bachelor of Technology)",215
Indian Institute of Technology Bhilai,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,5018,5940,2017,"Indian Institute of Technology Bhilai_Computer Science and Engineering (4 Years, Bachelor of Technology)",216
Indian Institute of Technology Bhilai,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,4961,8242,2017,"Indian Institute of Technology Bhilai_Electrical Engineering (4 Years, Bachelor of Technology)",217
Indian Institute of Technology Bhilai,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,7257,8778,2017,"Indian Institute of Technology Bhilai_Mechanical Engineering (4 Years, Bachelor of Technology)",218
Indian Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,3475,4825,2017,"Indian Institute of Technology Goa_Computer Science and Engineering (4 Years, Bachelor of Technology)",219
Indian Institute of Technology Goa,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,5198,7525,2017,"Indian Institute of Technology Goa_Electrical Engineering (4 Years, Bachelor of Technology)",220
Indian Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,6813,8213,2017,"Indian Institute of Technology Goa_Mechanical Engineering (4 Years, Bachelor of Technology)",221
Indian Institute  of Technology Palakkad,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,7334,9509,2017,"Indian Institute  of Technology Palakkad_Civil Engineering (4 Years, Bachelor of Technology)",222
Indian Institute  of Technology Palakkad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,3396,4962,2017,"Indian Institute  of Technology Palakkad_Computer Science and Engineering (4 Years, Bachelor of Technology)",223
Indian Institute  of Technology Palakkad,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,5390,7207,2017,"Indian Institute  of Technology Palakkad_Electrical Engineering (4 Years, Bachelor of Technology)",224
Indian Institute  of Technology Palakkad,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,5172,8349,2017,"Indian Institute  of Technology Palakkad_Mechanical Engineering (4 Years, Bachelor of Technology)",225
Indian Institute  of Technology Tirupati,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,7200,9374,2017,"Indian Institute  of Technology Tirupati_Civil Engineering (4 Years, Bachelor of Technology)",226
